program	Program
evalformula	Identifier
;	Semicolon
declare	Declare
integer	Integer
a	Identifier
;	Semicolon
real	Real
b	Identifier
;	Semicolon
procedure	Procedure
findformula	Identifier
;	Semicolon
parameters	Parameters
integer	Integer
x	Identifier
;	Semicolon
real	Real
y	Identifier
;	Semicolon
begin	Begin
while	While
x	Identifier
!	NotEqualOp
0	Constant
do	Do
if	If
x	Identifier
<	LessThanOp
0	Constant
then	Then
set	Set
y	Identifier
=	EqualOp
10	Constant
-	MinusOp
4.5	Constant
*	MultiplyOp
x	Identifier
else	Else
set	Set
y	Identifier
=	EqualOp
4.5	Constant
*	MultiplyOp
x	Identifier
+	PlusOp
10	Constant
endif	EndIf
;	Semicolon
write	Write
y	Identifier
;	Semicolon
read	Read
x	Identifier
end	End
;	Semicolon
begin	Begin
read	Read
a	Identifier
;	Semicolon
call	Call
findformula	Identifier
(	LParanthesis
a	Identifier
,	Comma
b	Identifier
)	RParanthesis
;	Semicolon
write	Write
b	Identifier
end	End
.	Dot
